CRSE_ID,CRSE_OFFER_NBR,CRSE_EFFDT,SUBJECT,CRSE_CODE,COURSE_TITLE_LONG,ACAD_ORG_MAU_DESCRFORMAL,ACAD_ORG_U1_DESCRFORMAL,RQRMNT_GROUP,EFFDT,DESCR254A,RQRMNT_USEAGE,RQRMNT_LIST_SEQ,RQ_CONNECT_TYPE,MIN_CRSES_REQD,MIN_UNITS_REQD,GRADE_POINTS_MIN,GPA_REQUIRED,RQ_LINE_KEY_NBR,RQ_GRP_LINE_NBR,RQ_GRP_LINE_TYPE,REQUIREMENT,REQUISITE_TYPE,SSR_DESCR80,RQDET_CRSE_ID,RQDET_CRSE,RQ_CONNECT,PARENTHESIS,MIN_CRSES_REQD,MIN_UNITS_REQD,CONDITION_CODE,CONDITION_OPERATOR,CONDITION_DATA,DESCR,RQRMNT_USEAGE,RQRMNT_LIST_SEQ,RQ_CONNECT_TYPE,MIN_CRSES_REQD,MIN_UNITS_REQD,GRADE_POINTS_MIN,GPA_REQUIRED,RQ_LINE_KEY_NBR,RQ_LINE_DET_SEQ,RQ_LINE_DET_TYPE,COURSE_LIST,CONDITION_CODE,CONDITION_OPERATOR,CONDITION_DATA,CourseList
100090,1,00:00.0,ACC,201,Principles of Financial Accounting,Eli Broad College of Business,Accounting and Information Systems,600038,00:00.0,Prerequisite: CSE 102. Restrictions: Open to undergraduate students in the Business - Admitted major and open to sophomores or juniors or seniors in the Hospitality Business Major.,ENR,1,OR,0,0,0,0,1,10,COND, , ,Honors Student, ,, , ,0,0,PL,IN,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100090,1,00:00.0,ACC,201,Principles of Financial Accounting,Eli Broad College of Business,Accounting and Information Systems,600038,00:00.0,Prerequisite: CSE 102. Restrictions: Open to undergraduate students in the Business - Admitted major and open to sophomores or juniors or seniors in the Hospitality Business Major.,ENR,1,OR,0,0,0,0,2,20,CRSE, ,PRE,CSE 102,126733,CSE 102 (126733-College of Engineering Computer Science and Engineering),OR,(,0,0, , , ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100090,1,00:00.0,ACC,201,Principles of Financial Accounting,Eli Broad College of Business,Accounting and Information Systems,600038,00:00.0,Prerequisite: CSE 102. Restrictions: Open to undergraduate students in the Business - Admitted major and open to sophomores or juniors or seniors in the Hospitality Business Major.,ENR,1,OR,0,0,0,0,3,30,COND, , ,Business Admitted Major, ,,AND,),0,0,PL,IN,430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100090,1,00:00.0,ACC,201,Principles of Financial Accounting,Eli Broad College of Business,Accounting and Information Systems,600038,00:00.0,Prerequisite: CSE 102. Restrictions: Open to undergraduate students in the Business - Admitted major and open to sophomores or juniors or seniors in the Hospitality Business Major.,ENR,1,OR,0,0,0,0,4,40,COND, , ,"Hospitality (Soph, Junior, or Senior)", ,,OR,(,0,0,TBL,EQ,248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100090,1,00:00.0,ACC,201,Principles of Financial Accounting,Eli Broad College of Business,Accounting and Information Systems,600038,00:00.0,Prerequisite: CSE 102. Restrictions: Open to undergraduate students in the Business - Admitted major and open to sophomores or juniors or seniors in the Hospitality Business Major.,ENR,1,OR,0,0,0,0,5,50,CRSE, ,PRE,CSE 102,126733,CSE 102 (126733-College of Engineering Computer Science and Engineering),AND,),0,0, , , ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100091,1,00:00.0,ACC,202,Principles of Management Accounting,Eli Broad College of Business,Accounting and Information Systems,600039,00:00.0,Restrictions: Open to undergraduate students in the Business - Admitted major.,ENR,1,AND,0,0,0,0,1,10,COND, , , , ,, ,(,0,0,PL,IN,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
100091,1,00:00.0,ACC,202,Principles of Management Accounting,Eli Broad College of Business,Accounting and Information Systems,600039,00:00.0,Restrictions: Open to undergraduate students in the Business - Admitted major.,ENR,1,AND,0,0,0,0,2,20,COND, , ,Business Admitted Major, ,,OR,),0,0,PL,IN,430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
