Eff End Term,Award Type,Major,Plan Title,Term,Year,Course,Fifth Year,Description,Major Title,Eff Start Term,Tracking Major Title,Credits,Credits Max,Credits Min
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Freshman,MTH 103,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,3,3
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Freshman,ISS 200-Level,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,4,4
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Freshman,PSL 250,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,4,4
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Freshman,WRA 1XX,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,4,4
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Junior,FI 311,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,3,3
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Junior,MTH 309,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,3,3
9999,BS,7105,Actuarial Science BS (MTH 103),FS,Junior,IAH 211 or Higher,No,Actuarial Science,"Actuarial Science, BS",FS17,None,120,4,4
